step,private value,transaction fee,incentive awareness,revenue,probability,miner number
1,8070.0,2192.5046,0.27168584,1503.0998118587001,0.2557381536612643,1
1,200000.0,57152.605,0.28576303,61244.87985794832,0.4287434157194242,1
1,2044.0,584.1191,0.28577253,257.26111339842953,0.1762206148472381,1
1,380.0,108.6096,0.28581473,16.56508901115047,0.061037858311891374,1
1,2304.0,658.4175,0.2857715,302.36752271373615,0.18374497731044606,1
1,6373.0,1821.1866,0.28576598,1115.262611772064,0.24501501377937884,1
1,3164.0,904.17346,0.2857691,459.5031396392289,0.2033355799195216,1
1,46723.0,13351.721,0.28576335,11833.924177484167,0.3546140401813224,1
1,10202.0,2915.373,0.28576484,1981.749508144933,0.27197076519678615,1
1,2937.0,839.30536,0.2857696,416.9804678110814,0.19878034659505203,1
1,2670.0,763.0066,0.28577027,367.87965568947857,0.192910816632615,1
1,241704.0,69070.055,0.28576297,75636.32198918563,0.43813122530606374,1
1,16435.0,4696.533,0.28576413,3504.528608828689,0.29855079623870984,1
1,9826.0,2807.926,0.2857649,1893.8077027631298,0.26984721301239045,1
1,440.0,125.75537,0.28580767,22.599499010405946,0.07191689827465005,1
1,3553.0,1015.3353,0.28576845,533.8746781505199,0.21038030905423266,1
1,1912.0,546.3983,0.2857732,234.87416939521935,0.17199317491258267,1
1,3616.0,1033.3384,0.28576836,546.0854454381755,0.21144289324549997,1
1,445.0,127.18419,0.28580716,23.120319821079114,0.07274754436191747,1
1,5576.0,1593.4337,0.28576645,944.7269082545962,0.23721561446633574,1
1,11666.0,3333.7295,0.28576458,2329.008007238613,0.279516610155046,1
1,1777.0,507.82034,0.28577396,212.37063928395366,0.16732906024422278,1
1,6276.0,1793.4677,0.28576604,1094.2894263541018,0.24412304055939804,1
1,462.0,132.04218,0.28580558,24.910340541108237,0.07549552905201161,1
1,5725.0,1636.0122,0.28576633,976.2888259862627,0.238760513705873,1
1,783.0,223.77203,0.28578803,63.17026679618998,0.1129597777685734,1
1,5427.0,1550.8549,0.2857665,913.3208607397085,0.2356260736826637,1
1,11322.0,3235.4272,0.28576463,2246.751616622412,0.2778373094506705,1
1,65041.0,18586.324,0.2857632,17273.30422305411,0.3718313373747825,1
1,2525.0,721.571,0.28577068,341.66312961536636,0.18945194214059657,1
1,606.0,173.192,0.2857954,41.131349144002314,0.09503370841484221,1
1,2390.0,682.99304,0.28577116,317.5601768502062,0.18603332303977219,1
1,1351.0,386.0854,0.28577748,144.35656721648903,0.14960553550406358,1
1,3536.0,1010.4773,0.28576848,530.5872929644099,0.21009009022074765,1
1,6430.0,1837.4753,0.285766,1127.613809336962,0.24553244527992435,1
1,1469.0,419.80536,0.2857763,162.69447435575793,0.15506605541096338,1
1,6063.0,1732.6002,0.28576615,1048.4408376459967,0.24211178894429797,1
1,2634.0,752.7191,0.28577036,361.3400912357046,0.19207131393794558,1
1,16248.0,4643.0957,0.28576413,3457.3431445172946,0.29792086656400063,1
1,2431.0,694.7093,0.28577098,324.8481122916509,0.18709315803895835,1
1,3456.0,987.6162,0.28576857,515.1617140449009,0.20870405822935703,1
1,3556.0,1016.19244,0.2857684,534.4551553991836,0.2104313589053382,1
1,1254.0,358.36636,0.2857786,129.6087910215722,0.14471183946567484,1
1,2162.0,617.83905,0.285772,277.57320919387143,0.1797566563553719,1
1,1547.0,442.09494,0.28577566,175.03837106620654,0.15841937686085056,1
1,420.0,120.04011,0.2858098,20.542904955569597,0.06848550584514985,1
1,16482.0,4709.963,0.28576404,3516.400385394605,0.29870789165234773,1
1,3317.0,947.89526,0.28576884,488.5375897183092,0.2062119003128133,1
1,7056.0,2016.3628,0.2857657,1264.5144078995656,0.25091377731224945,1
1,1261.0,360.36673,0.28577852,130.66266123059404,0.1450786524823149,1
1,2015.0,575.832,0.28577268,252.311683568522,0.17531773798934927,1
1,1800.0,514.3929,0.2857738,216.17520444221373,0.16815028606658702,1
1,420.0,120.04011,0.2858098,20.542904955569597,0.06848550584514985,1
1,3641.0,1040.4824,0.2857683,550.9432153929214,0.21185906222182022,1
1,8295.0,2370.423,0.2857653,1541.6365656867881,0.2602104066821543,1
1,12251.0,3500.901,0.2857645,2469.7657288166192,0.2822557430078462,1
1,1692.0,483.5305,0.28577453,198.4193313893302,0.16419059749939377,1
1,5994.0,1712.8826,0.28576618,1033.6505300870447,0.24144409645192216,1
1,302.0,86.32009,0.2858281,9.401216832489995,0.04358874633650165,1
1,2220.0,634.4133,0.28577176,287.65547340529145,0.18141895291000698,1
1,2775.0,793.0118,0.28577,387.06530120953477,0.1952914236632434,1
1,4653.0,1329.6744,0.28576714,752.8689402114658,0.22654083275137965,1
1,1974.0,564.11566,0.2857729,245.34372802291722,0.17401691851192208,1
1,3590.0,1025.9086,0.2857684,541.0406710023027,0.21100677789098218,1
1,535.0,152.90283,0.28579968,32.91172743940569,0.08613444484387643,1
1,2479.0,708.42596,0.28577086,333.41626733924875,0.1883097010500763,1
1,40000.0,11430.537,0.28576344,9897.773933925402,0.3464459227608837,1
1,284.0,81.17636,0.28583226,7.87647642358159,0.038834114532591744,1
1,147.0,42.02684,0.28589687,0.0,0.0,1
1,22032.0,6295.9478,0.2857638,4949.914526589983,0.3145588518123235,1
1,4504.0,1287.0958,0.2857673,722.5390740373658,0.22460696208995232,1
1,2249.0,642.7005,0.28577167,292.7201208408854,0.18223259169903624,1
1,4715.0,1347.3918,0.2857671,765.5452107894433,0.22732609487616648,1
1,4194.0,1198.5093,0.28576759,660.069846820558,0.220354495451497,1
1,1278.0,365.22467,0.2857783,133.22886908795334,0.14596019937109808,1
1,2477.0,707.85443,0.28577086,333.0585067977856,0.18825952632870419,1
1,930.0,265.7792,0.2857841,82.84841718090814,0.12473023706086234,1
1,5800.0,1657.4446,0.2857663,992.2331786690061,0.2395220046779045,1
1,8747.0,2499.588,0.28576517,1644.5661153668725,0.2632395760956767,1
1,3972.0,1135.0698,0.28576782,615.8891431980402,0.21709703977061517,1
1,176.0,50.31397,0.2858748,0.05392628087739163,0.0004290554829505732,1
1,4414.0,1261.3771,0.28576735,704.3131342034897,0.22340544714751237,1
1,5072.0,1449.4092,0.28576678,839.1490150553374,0.2316433339228052,1
1,4114.0,1175.6483,0.2857677,644.0936445848421,0.21920236708460264,1
1,22185.0,6339.67,0.2857638,4990.233913833642,0.31493404613406095,1
1,2286.0,653.2737,0.28577152,299.2041865426575,0.18325434163596338,1
